Views,Duration,Likes,Comments,Category,Title_Length,Channel_Subscribers,Channel_Views,Video_Age,Average_Video_Views,Hashtag_Count,Audio_Language,Total_Videos_Posted,Channel_Size_Num,Channel_Age,Title_Sentiment,Engagement_Rate
31791,15,1054,31,10,71,5270,1267965,162,15849.5625,4,63,80,1,234,0.15,20.588235294117645
608720,182,9675,572,12,29,527000,185661018,21,871647.971830985,0,16,213,2,1577,0.0,1.9444022770398484
1320955,357,46335,4611,12,46,503000,199019702,25,101800.359079283,0,16,1955,2,6346,-0.194444444444444,10.128429423459243
23332349,22,525924,4225,3,20,641000,552412754,880,1100423.812749,0,63,502,2,2037,0.75,82.70655226209048
449098,4430,3378,143,12,93,395000,182295616,149,163493.826008968,0,16,1115,2,3424,0.15,0.8913924050632911
1892530,58,77080,849,14,62,183000,17989747,327,136285.962121212,5,63,132,2,2015,0.0,42.58415300546448
162500,181,6015,193,12,26,527000,185661018,8,871647.971830985,0,16,213,2,1577,-0.3,1.177988614800759
12933778,60,663071,3778,5,30,1700000,855750868,347,439522.787878787,0,16,1947,3,5028,0.0,39.22641176470588
1899473,175,21332,1238,12,35,527000,185661018,165,871647.971830985,0,16,213,2,1577,-0.3,4.282732447817836
321916,1342,12774,2503,3,32,477000,85834608,48,479522.94972067,0,16,179,2,1189,0.0,3.2027253668763107
9372217,60,327325,7881,10,75,171000,67495587,235,674955.87,3,17,100,2,4578,0.0,196.02690058479533
2505967,844,54521,1172,10,66,25600000,2827312576,493,572562.287565816,0,16,4938,4,6619,0.276190476190476,0.21755078125000002
6396547,453,178425,8490,2,44,1790000,143009258,1360,725935.319796954,0,16,197,3,3729,0.0,10.442178770949722
55886972,44,2213909,20421,1,20,2340000,677487514,938,699883.795454545,0,16,968,3,4414,-0.8,95.48418803418804
12452250,52,745598,24503,5,24,8900000,13667673087,901,4792311.74158485,0,63,2852,3,1845,0.0,8.652820224719102
85608,39,5414,392,10,78,1050,260314,830,3136.31325301204,4,63,83,1,927,0.0,552.952380952381
9544055,16,632293,38804,10,74,1350000,536545031,597,1047939.51367187,4,63,512,3,1656,0.0,49.71088888888889
72823348,57,2431722,26205,10,94,560000,212959997,310,768808.653429602,5,16,277,2,1530,0.0,438.91553571428574
14711744,17,1058957,5800,1,91,492000,367371218,788,1783355.42718446,6,19,206,2,3803,0.1,216.4140243902439
15040916,35,157906,3016,10,99,560000,212959997,338,768808.653429602,6,16,277,2,1530,0.0,28.73607142857143
5032885,1637,132285,8733,3,32,13200000,3784089512,77,3119612.12860676,0,17,1213,4,1327,-0.699999999999999,1.0683181818181817
5896175,36,0,2707,10,52,377000,191547295,473,427560.926339285,0,17,448,2,1293,0.0,0.7180371352785146
451365,59,12413,2810,8,42,1100000,989706064,168,68387.6495301271,1,63,14472,3,2167,0.2,1.3839090909090908
1067829,1034,42062,694,9,59,42300000,8199750579,2085,35948.366837938,0,16,228098,4,5689,0.0,0.10107801418439716
13441448,2564,1285511,144016,5,13,20800000,8286873291,30,4874631.34764705,0,17,1700,4,5746,-0.699999999999999,6.872725961538462
2243230,29,159748,2004,10,23,6920,2287802,133,163414.428571428,0,63,14,1,338,-0.549999999999999,2337.456647398844
1246266,16,0,524,5,79,3350,1377313,88,6621.69711538461,3,63,208,1,2759,-0.549999999999999,15.641791044776118
1209870,22,54310,941,10,86,643000,176074592,83,1231290.85314685,7,63,143,2,439,-0.699999999999999,8.592690513219285
3296417,11,173199,2914,10,41,5780,3539444,114,30251.6581196581,3,63,117,1,636,-0.699999999999999,3046.9377162629758
10943953,24,612878,3925,1,52,3480000,3457196349,187,3919723.75170068,0,17,882,3,2892,0.0,17.724224137931035
1066170,15,55059,1384,10,100,64000,11921385,95,90313.5227272727,3,63,132,1,537,-0.0547619047619047,88.1921875
5566228,16,289063,6837,10,20,19700,8941205,98,64791.3405797101,0,63,138,1,1201,0.0,1502.030456852792
436627,18,19549,810,10,14,1870,646138,108,4894.98484848484,0,63,132,1,2573,-0.699999999999999,1088.716577540107
4668811,2058,137016,10467,5,50,4970000,1468010784,130,1775103.72914147,0,63,827,3,3198,-0.437499999999999,2.967464788732394
3147430,60,227432,6198,3,33,7210000,4170138116,511,545044.845902496,1,16,7651,3,3001,0.2,3.2403606102635227
6967292,54,576930,8004,5,22,8900000,13667673087,835,4792311.74158485,0,63,2852,3,1845,0.7,6.572292134831461
4093569,1673,129723,12919,5,82,9440000,4300445239,148,1947665.41621376,1,16,2208,3,6537,-0.199999999999999,1.5110381355932203
32036949,24,465944,1001,10,82,1320000,1608599582,530,1469040.71415525,5,16,1095,3,1890,0.0,35.37462121212121
10931354,60,582483,14111,10,100,560000,212959997,87,768808.653429602,4,16,277,2,1530,0.0,106.53464285714284
241708,1053,3894,224,12,83,25600000,2827312576,836,572562.287565816,0,16,4938,4,6619,0.0,0.0160859375
423788,4256,6850,204,2,73,3600000,306198582,153,337594.908489525,1,17,907,3,1634,0.0,0.19594444444444448
789639,675,13842,450,10,48,3090,812621,374,26213.5806451612,1,63,31,1,438,0.0,462.5242718446602
755356,1871,18043,2168,5,66,2230000,294173054,100,1267987.30172413,0,46,232,3,3316,-0.874999999999999,0.9063228699551569
468796,61,24403,474,1,37,1280000,326807011,172,574353.270650263,1,17,569,3,4205,0.0,1.9435156249999999
6364359,457,260222,17832,2,42,9270000,926779444,1656,905942.760508308,0,19,1023,3,5360,0.7,2.9995037756202803
346286,2706,4573,162,3,83,5890000,2999704832,403,144983.317158047,1,16,20690,3,6958,0.356565656565656,0.08039049235993209
14762385,18,948932,6514,1,58,1450000,937559750,939,1435772.97090352,3,63,653,3,1149,0.25,65.89282758620689
5858103,13,242746,3155,10,87,763000,245116680,86,1047507.17948717,7,63,234,2,799,-0.699999999999999,32.22817824377457
193870,33,22160,218,10,42,1170000,196617991,374,164947.979026845,0,19,1192,3,5041,0.2,1.9126495726495725
2299591,20,207178,497,3,73,184000,168050985,84,149378.653333333,4,16,1125,2,907,0.0,112.86684782608695
1731793,223,26560,2048,1,23,810000,308182977,523,263179.314261315,0,17,1171,2,4764,0.0,3.531851851851852
57448081,18,2755925,4730,1,61,2290000,1316603789,457,2198002.9866444,4,17,599,3,758,0.0,120.55262008733625
74824,1200,877,45,3,79,46600,1809809,29,10708.9289940828,0,16,169,1,3811,0.0,1.9785407725321886
705477,905,24581,8868,8,70,3130000,1111995665,155,222710.928299619,1,16,4993,3,4751,0.0,1.0686581469648562
3623864,18,182507,5077,10,82,18100,4109799,118,57884.4929577464,3,63,71,1,587,0.6,1036.375690607735
6343283,14,412869,4538,4,96,986000,283952487,67,1586326.74301675,5,16,179,2,1267,5.55111512312578e-17,42.333367139959435
270796,1949,14306,1278,5,51,2310000,617656196,137,74264.30155104,0,45,8317,3,5635,-0.699999999999999,0.6746320346320347
111361,35,7999,78,3,37,4380000,1513407449,7,1495461.90612648,0,16,1012,3,3392,0.0,0.18440639269406392
3805871,13,145326,1453,10,87,763000,245116680,78,1047507.17948717,7,63,234,2,799,-0.699999999999999,19.237090432503276
1308137,12,75927,1202,10,97,64000,11921385,110,90313.5227272727,5,63,132,1,537,-0.616666666666666,120.51406250000001
1144391,1551,62268,2958,5,69,4830000,847204628,63,909017.841201716,0,63,932,3,1970,-0.699999999999999,1.3504347826086955
3665727,380,180733,20261,2,49,12500000,1883886098,1236,580371.564386937,1,17,3246,4,3759,0.0,1.607952
19099025,32,352327,1192,1,94,376000,303240628,717,488310.190016103,5,17,621,2,6178,-1.0,94.02101063829788
3500508,1930,241959,10664,1,38,2430000,355712631,30,1976181.28333333,0,63,180,3,1254,0.0,10.396008230452674
509333,377,11117,590,10,43,728000,80440831,536,386734.764423076,0,16,208,2,1732,0.0,1.6081043956043954
1972410,17,64414,2129,1,77,6450,2313092,85,9558.23140495867,6,19,242,1,3953,-0.699999999999999,1031.6744186046512
58733,506,1023,52,10,93,130000,13536101,514,53082.7490196078,0,39,255,2,782,0.227272727272727,0.826923076923077
3091714,19,88167,2283,7,95,312000,165067258,89,285583.491349481,6,63,578,2,865,-0.699999999999999,28.990384615384617
118848,59,3313,118,3,60,365000,160157273,459,41816.5203655352,1,17,3830,2,6676,0.6,0.9400000000000001
