Views,Likes,Engagement_Rate,Comments,Average_Video_Views,Hashtag_Count,Channel_Country,Video_Age,Weekly_Videos,Total_Videos_Posted,Title_Length,Month,Channel_Subscribers,Publish_Hour_Time,Title_Sentiment,Duration
2377938,67398,2.92413006562828,2136,720176.552447552,0,86,1390,0.6094986807387863,429,29,3,3900000,5,0.0,1545
17202,1061,6.51087082897337,59,44438.3986777809,0,86,7,9.07677972418934,3479,34,1,1140000,3,0.5,2205
386000,2853,0.752590673575129,52,3091830.69083155,0,86,7,1.5463966085727743,469,55,1,4550000,22,0.6,1158
156256,4717,3.1147603932009003,150,717161.493506493,1,86,58,1.3231632474136419,1078,61,11,4620000,12,-0.5,1690
28425058,771652,2.71797510492326,934,1402793.92848629,1,85,1346,22.28238482384824,5873,28,5,8790000,8,0.6,60
47199,3737,8.29678594885484,179,243646.434426229,0,86,14,0.3329434697855751,122,40,1,726000,6,1.0,1468
124581,4871,3.95084322649521,51,1358.62272727272,0,57,923,0.9753008233058899,220,100,7,2750,4,0.0,13
1858323,59358,3.2020267736017898,146,21803.6984536082,8,32,140,7.8497109826589595,388,100,9,22100,20,0.0,12
4093569,129723,3.48453879731842,12919,1947665.41621376,1,86,148,2.364387333639284,2208,82,8,9440000,6,-0.199999999999999,1673
3538716,177590,5.15890509439016,4969,1617698.88349514,0,86,1293,1.4333996023856859,309,45,7,2480000,5,0.425,458
110018,0,0.0936210438291915,103,66117.1035856573,2,86,44,1.4112449799196787,251,47,12,76300,13,0.0,39
362070,15238,4.22956886789847,76,267944.751677852,0,87,214,2.219148936170213,149,69,6,392000,4,-0.3125,49
4697497,6617,0.140862250683715,0,1337974.88831835,0,86,3037,3.5804333552199603,779,50,9,798000,13,0.2,224
20241,207,3.20636332197025,442,13549.3813119395,4,86,11,4.538861689106487,4238,84,1,155000,14,0.0,36
76022701,3176782,4.20461646054906,19681,1718468.26666666,3,88,284,0.2986348122866894,75,63,4,622000,11,0.0,60
187397,159,0.0907165002641451,11,71594.2460567823,0,86,345,1.028584672435105,951,45,2,246000,10,0.0121212121212121,149
16476024,375943,2.43564223989962,25354,3075825.79695431,0,86,2753,0.381994459833795,197,35,7,6860000,7,0.0,1516
1014133,12995,1.2813901135255399,0,2043091.07226354,0,32,1801,1.6981180716679556,941,92,2,5630000,3,0.0,428
60788,0,0.0,0,65850.4805217801,2,11,5,61.912816496998175,33884,106,1,3820000,0,0.0,680
